Date,Bill Number,Customer ID,Dish Name,Quantity
01-06-2018,20083931328,UnKnown,Bhel,1
01-06-2018,20083931328,UnKnown,Cheese Chutney Half,1
01-06-2018,20083931328,UnKnown,Cold Drink,2
01-06-2018,20083931328,UnKnown,Cold Drink s,3
01-06-2018,20083931328,UnKnown,Hot Coffee,2
01-06-2018,20083931328,UnKnown,Masala Cheese Maggi,1
01-06-2018,20083931328,UnKnown,Tomato Soup,1
01-06-2018,20083931328,UnKnown,water bottle,2
01-06-2018,20083932968,UnKnown,Chicken Home Style,2
01-06-2018,20083932968,UnKnown,Chicken Tikka,1
01-06-2018,20083932968,UnKnown,Tandoori Roti,10
01-06-2018,20083933624,UnKnown,Fish Curry,1
01-06-2018,20083933624,UnKnown,Hyderabadi Mutton Dum Biryani,2
01-06-2018,20083933624,UnKnown,Plain Rice,1
01-06-2018,20083933952,UnKnown,Chicken Handi,1
01-06-2018,20083933952,UnKnown,Hyderabadi Mutton Dum Biryani,1
01-06-2018,20083933952,UnKnown,Tandoori Roti,8
01-06-2018,20083933952,UnKnown,water bottle,2
01-06-2018,20083934936,UnKnown,Sev Tamater,1
01-06-2018,20083934936,UnKnown,Tandoori Roti Butter,6
01-06-2018,20083936248,UnKnown,Dhaniya Chicken,1
01-06-2018,20083936248,UnKnown,Hyderabadi Chicken Fry Piece Biryani,1
01-06-2018,20083936248,UnKnown,Tandoori Roti Butter,4
01-06-2018,20083937232,UnKnown,Chicken Manchurian,1
01-06-2018,20083937232,UnKnown,Tandoori Roti,3
01-06-2018,20083942152,UnKnown,Chicken Amritsari Tikka,1
01-06-2018,20083942480,UnKnown,Chicken masala,1
01-06-2018,20083942480,UnKnown,Fried Rice,1
01-06-2018,20083943136,UnKnown,Kadhai Chicken,1
01-06-2018,20083943136,UnKnown,Tandoori Roti,3
01-06-2018,20083943136,UnKnown,Tawa Roti,5
01-06-2018,20083943792,UnKnown,Chicken Tikka Masala,1
